node_id,relation,target_id,source_path,target_path,notes
mod_core_master_engine,depends_on,mod_tau_layer,packages/engine/kaldra_engine/core/kaldra_master_engine.py,packages/engine/kaldra_engine/tau/tau_layer.py,Uses TauLayer for epistemic limits
mod_core_master_engine,depends_on,mod_safeguard_engine,packages/engine/kaldra_engine/core/kaldra_master_engine.py,packages/engine/kaldra_engine/safeguard/safeguard_engine.py,Uses SafeguardEngine for safety
mod_core_master_engine,depends_on,mod_delta12_vector,packages/engine/kaldra_engine/core/kaldra_master_engine.py,packages/engine/kaldra_engine/archetypes/delta12_vector.py,Uses Delta12Vector
mod_core_master_engine,depends_on,mod_hardening_fallbacks,packages/engine/kaldra_engine/core/kaldra_master_engine.py,packages/engine/kaldra_engine/core/hardening/fallbacks.py,Uses safe_fallback decorator
mod_core_master_engine,depends_on,mod_hardening_timeouts,packages/engine/kaldra_engine/core/kaldra_master_engine.py,packages/engine/kaldra_engine/core/hardening/timeouts.py,Uses with_timeout decorator
mod_core_master_engine,depends_on,mod_parallel_executor,packages/engine/kaldra_engine/core/kaldra_master_engine.py,packages/engine/kaldra_engine/infrastructure/execution/parallel_executor.py,Uses ParallelExecutor
mod_tw369_integrator,depends_on,mod_tracy_widom,packages/engine/kaldra_engine/tw369/tw369_integration.py,packages/engine/kaldra_engine/tw369/tracy_widom.py,Uses TW statistics
mod_tw369_integrator,depends_on,mod_advanced_drift_models,packages/engine/kaldra_engine/tw369/tw369_integration.py,packages/engine/kaldra_engine/tw369/advanced_drift_models.py,Uses drift model functions
mod_tw369_integrator,depends_on,mod_drift_history,packages/engine/kaldra_engine/tw369/tw369_integration.py,packages/engine/kaldra_engine/tw369/drift_history.py,Uses DriftHistory
mod_tw369_integrator,depends_on,mod_drift_topology,packages/engine/kaldra_engine/tw369/tw369_integration.py,packages/engine/kaldra_engine/tw369/drift_topology.py,Uses TW369Topology
mod_kindra_engine,depends_on,mod_unified_state,packages/engine/kaldra_engine/kindras/kindra_engine.py,packages/engine/kaldra_engine/unification/states/unified_state.py,Uses KindraContext/KindraLayerScores
mod_kindra_engine,depends_on,mod_kindra_loaders,packages/engine/kaldra_engine/kindras/kindra_engine.py,packages/engine/kaldra_engine/kindras/loaders.py,Uses load_layer_vectors/load_layer_mapping
mod_kindra_engine,depends_on,mod_kindra_llm_adapter,packages/engine/kaldra_engine/kindras/kindra_engine.py,packages/engine/kaldra_engine/kindras/llm_adapter.py,Uses KindraLLMScorer
mod_aurelius,depends_on,mod_meta_types,packages/engine/kaldra_engine/meta/aurelius.py,packages/engine/kaldra_engine/meta/types.py,Uses MetaInput
mod_aurelius,depends_on,mod_unified_state,packages/engine/kaldra_engine/meta/aurelius.py,packages/engine/kaldra_engine/unification/states/unified_state.py,Uses KindraContext
mod_aurelius,depends_on,mod_tw369_integrator,packages/engine/kaldra_engine/meta/aurelius.py,packages/engine/kaldra_engine/tw369/tw369_integration.py,Uses TWState
mod_aurelius,depends_on,mod_unified_signal,packages/engine/kaldra_engine/meta/aurelius.py,packages/engine/kaldra_engine/common/unified_signal.py,Uses MetaSignal
mod_engine_router,configures,app_alpha,packages/engine/kaldra_engine/meta/engine_router.py,packages/engine/kaldra_engine/apps/alpha/,Routes alpha domain
mod_engine_router,configures,app_geo,packages/engine/kaldra_engine/meta/engine_router.py,packages/engine/kaldra_engine/apps/geo/,Routes geo domain
mod_engine_router,configures,app_product,packages/engine/kaldra_engine/meta/engine_router.py,packages/engine/kaldra_engine/apps/product/,Routes product domain
mod_engine_router,configures,app_safeguard_app,packages/engine/kaldra_engine/meta/engine_router.py,packages/engine/kaldra_engine/apps/safeguard/,Routes safeguard domain
mod_story_aggregator,depends_on,mod_story_buffer,packages/engine/kaldra_engine/story/story_aggregator.py,packages/engine/kaldra_engine/story/story_buffer.py,Uses StoryBuffer/StoryEvent
mod_delta144_engine,reads_from,schema_archetypes_core,packages/engine/kaldra_engine/archetypes/delta144_engine.py,schema/archetypes/archetypes.core.json,Loads archetype definitions
mod_delta144_engine,reads_from,schema_delta144_states,packages/engine/kaldra_engine/archetypes/delta144_engine.py,schema/archetypes/delta144_states.json,Loads 144 states
mod_delta144_engine,reads_from,schema_modifiers,packages/engine/kaldra_engine/archetypes/delta144_engine.py,schema/archetypes/modifiers.json,Loads 59 modifiers
mod_delta144_engine,reads_from,schema_polarities,packages/engine/kaldra_engine/archetypes/delta144_engine.py,schema/archetypes/polarities.json,Loads 46 polarities
mod_delta144_engine,depends_on,mod_delta12_vector,packages/engine/kaldra_engine/archetypes/delta144_engine.py,packages/engine/kaldra_engine/archetypes/delta12_vector.py,Uses Delta12Vector
mod_delta144_engine,depends_on,mod_core_embedding_generator,packages/engine/kaldra_engine/archetypes/delta144_engine.py,packages/engine/kaldra_engine/core/embedding_generator.py,Uses EmbeddingGenerator
mod_kindra_loaders,reads_from,schema_kindras,packages/engine/kaldra_engine/kindras/loaders.py,schema/kindras/,Loads layer vectors and mappings
mod_tw369_integrator,reads_from,schema_tw369_config,packages/engine/kaldra_engine/tw369/tw369_integration.py,schema/tw369/tw369_default_config.json,Loads TW config
mod_tw369_integrator,reads_from,schema_tw369_drift_params,packages/engine/kaldra_engine/tw369/tw369_integration.py,schema/tw369/drift_parameters.json,Loads drift parameters
api_main,exposes_api,router_engine,kaldra_api/main.py,kaldra_api/routers/router_engine.py,/engine endpoints
api_main,exposes_api,router_alpha,kaldra_api/main.py,kaldra_api/routers/router_alpha.py,/alpha endpoints
api_main,exposes_api,router_geo,kaldra_api/main.py,kaldra_api/routers/router_geo.py,/geo endpoints
api_main,exposes_api,router_product,kaldra_api/main.py,kaldra_api/routers/router_product.py,/product endpoints
api_main,exposes_api,router_safeguard,kaldra_api/main.py,kaldra_api/routers/router_safeguard.py,/safeguard endpoints
api_main,exposes_api,router_news,kaldra_api/main.py,kaldra_api/routers/router_news.py,/kaldra endpoints
api_main,exposes_api,router_v3_1,kaldra_api/main.py,kaldra_api/routers/router_v3_1.py,/api v3.1 endpoints
api_main,exposes_api,router_signals,kaldra_api/main.py,kaldra_api/routers/router_signals.py,/signals Supabase
api_main,exposes_api,router_story_events,kaldra_api/main.py,kaldra_api/routers/router_story_events.py,/story-events
router_engine,depends_on,engine_unified_kernel,kaldra_api/routers/router_engine.py,packages/engine/kaldra_engine/unification/kernel.py,Calls UnifiedKernel
router_v3_1,depends_on,engine_unified_kernel,kaldra_api/routers/router_v3_1.py,packages/engine/kaldra_engine/unification/kernel.py,Uses v3.1 kernel interface
data_pipeline_alpha,feeds,app_alpha,kaldra_data/pipeline/pipeline_alpha.py,packages/engine/kaldra_engine/apps/alpha/,Provides data to Alpha app
data_pipeline_geo,feeds,app_geo,kaldra_data/pipeline/pipeline_geo.py,packages/engine/kaldra_engine/apps/geo/,Provides data to Geo app
data_pipeline_product,feeds,app_product,kaldra_data/pipeline/pipeline_product.py,packages/engine/kaldra_engine/apps/product/,Provides data to Product app
data_pipeline_safeguard,feeds,app_safeguard_app,kaldra_data/pipeline/pipeline_safeguard.py,packages/engine/kaldra_engine/apps/safeguard/,Provides data to Safeguard app
tests_core,tests,engine_core,tests/core/,packages/engine/kaldra_engine/core/,Core engine tests
tests_tw369,tests,engine_tw369,tests/tw369/,packages/engine/kaldra_engine/tw369/,TW369 engine tests
tests_kindras,tests,engine_kindra,tests/kindras/,packages/engine/kaldra_engine/kindras/,Kindras engine tests
tests_archetypes,tests,engine_delta144,tests/archetypes/,packages/engine/kaldra_engine/archetypes/,Archetypes engine tests
tests_meta,tests,engine_meta,tests/meta/,packages/engine/kaldra_engine/meta/,Meta engines tests
tests_story,tests,engine_story,tests/story/,packages/engine/kaldra_engine/story/,Story engine tests
tests_unification,tests,engine_unified_kernel,tests/unification/,packages/engine/kaldra_engine/unification/,Unification tests
tests_explainability,tests,engine_explainability,tests/explainability/,packages/engine/kaldra_engine/explainability/,Explainability tests
tests_bias,tests,engine_bias,tests/bias/,packages/engine/kaldra_engine/bias/,Bias engine tests
tests_tau,tests,engine_tau,tests/tau/,packages/engine/kaldra_engine/tau/,Tau layer tests
tests_safeguard,tests,engine_safeguard,tests/safeguard/,packages/engine/kaldra_engine/safeguard/,Safeguard engine tests
tests_integration,tests,engine_core,tests/integration/,packages/engine/kaldra_engine/,Integration tests across engines
tests_e2e,tests,api_main,tests/e2e/,kaldra_api/,End-to-end API tests
tests_api,tests,api_main,tests/api/,kaldra_api/,API unit tests
tests_apps,tests,app_alpha,tests/apps/,packages/engine/kaldra_engine/apps/,App tests
infra_docker,runs_as,api_main,infra/docker/,kaldra_api/main.py,Docker container runs API
infra_k8s,configures,infra_docker,infra/k8s/,infra/docker/,K8s deploys Docker containers
frontend_4iam,renders_ui,api_main,4iam_frontend/,kaldra_api/,Frontend consumes API
frontend_visual_engine,renders_ui,router_engine,4iam_frontend/visual_engine/,kaldra_api/routers/router_engine.py,Visualizes engine output
frontend_design_system,owned_by,frontend_4iam,4iam_frontend/design_system/,4iam_frontend/,Design tokens for frontend
mod_exo_presets,configures,engine_unified_kernel,packages/engine/kaldra_engine/unification/exoskeleton/presets.py,packages/engine/kaldra_engine/unification/kernel.py,Presets configure kernel modes
mod_pipeline_stages,depends_on,engine_core,packages/engine/kaldra_engine/unification/pipeline/,packages/engine/kaldra_engine/core/,Pipeline stages call core
mod_pipeline_stages,depends_on,engine_meta,packages/engine/kaldra_engine/unification/pipeline/,packages/engine/kaldra_engine/meta/,Pipeline stages call meta
mod_pipeline_stages,depends_on,engine_story,packages/engine/kaldra_engine/unification/pipeline/,packages/engine/kaldra_engine/story/,Pipeline stages call story
mod_pipeline_stages,depends_on,engine_safeguard,packages/engine/kaldra_engine/unification/pipeline/,packages/engine/kaldra_engine/safeguard/,Pipeline stages call safeguard
mod_learning,feeds,engine_kindra,packages/engine/kaldra_engine/learning/,packages/engine/kaldra_engine/kindras/,Provides learned weights to Kindras
mod_learning,feeds,engine_delta144,packages/engine/kaldra_engine/learning/,packages/engine/kaldra_engine/archetypes/,Provides mapping to Delta144
api_clients,depends_on,supabase,kaldra_api/clients/,supabase/,Supabase client integration
router_signals,writes_to,supabase,kaldra_api/routers/router_signals.py,supabase/,Writes signals to Supabase
router_story_events,writes_to,supabase,kaldra_api/routers/router_story_events.py,supabase/,Writes story events to Supabase
engine_kindra,feeds,engine_tw369,packages/engine/kaldra_engine/kindras/,packages/engine/kaldra_engine/tw369/,Kindra scores feed TW369 planes
engine_kindra,feeds,engine_delta144,packages/engine/kaldra_engine/kindras/,packages/engine/kaldra_engine/archetypes/,Kindra weights influence Delta144
engine_delta144,feeds,engine_core,packages/engine/kaldra_engine/archetypes/,packages/engine/kaldra_engine/core/,Delta144 probs to master engine
engine_tw369,feeds,engine_core,packages/engine/kaldra_engine/tw369/,packages/engine/kaldra_engine/core/,Drift state to master engine
